Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,Clasificacion
COBERTURA DE ALCANTARILLADO RURAL,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
COBERTURA DE ACUEDUCTO RURAL,OXIGENO DISUELTO (OD),0.4406323819762324,0.4101997847572218,0.4406323819762324,0.4101997847572218,Débil
Humedad_Relativa,Radiacion_Solar,-0.4382246966846543,-0.4876038277773199,0.4382246966846543,0.4876038277773199,Débil
Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,-0.43706854019701075,-0.7762237762237763,0.43706854019701075,0.7762237762237763,Débil
Radiacion_Solar,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.42687760174489636,-0.5475429033026336,0.42687760174489636,0.5475429033026336,Débil
Precipitacion_mm,Radiacion_Solar,-0.424983687244536,-0.4363616846107672,0.424983687244536,0.4363616846107672,Débil
Temp_Max_C,Radiacion_Solar,0.4234305561668253,0.43665367419301343,0.4234305561668253,0.43665367419301343,Débil
Velocidad_Viento,CALIDAD DEL AGUA,0.4064636277784563,0.38459041798494875,0.4064636277784563,0.38459041798494875,Débil
CALIDAD DEL AGUA,NITROGENO TOTAL,0.40129185320610816,0.5907646307988055,0.40129185320610816,0.5907646307988055,Débil
Temp_Media_C,TURBIDEZ,0.39649806293929757,0.42900812030184826,0.39649806293929757,0.42900812030184826,Débil
Temp_Max_C,DEMANDA QUIMICA DE OXIGENO (DQO),0.39514565718704003,0.4443196949088197,0.39514565718704003,0.4443196949088197,Débil
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),TEMPERATURA,-0.3914574208333092,-0.5913928746494463,0.3914574208333092,0.5913928746494463,Débil
Anio,FOSFORO TOTAL,0.38967883722781743,0.3133088708585023,0.38967883722781743,0.3133088708585023,Débil
Temp_Min_C,TURBIDEZ,0.3890693718388068,0.5090561845676033,0.3890693718388068,0.5090561845676033,Débil
Nivel_Minimo,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.3886027017476321,-0.3404271044608361,0.3886027017476321,0.3404271044608361,Débil
DEMANDA QUIMICA DE OXIGENO (DQO),pH,0.38276571890227457,0.4740978945743184,0.38276571890227457,0.4740978945743184,Débil
Anio,CONDUCTIVIDAD ELECTRICA,0.38025008002746596,0.36012457093205774,0.38025008002746596,0.36012457093205774,Débil
Precipitacion_mm,CONDUCTIVIDAD ELECTRICA,-0.3794558619967454,-0.2954621848739496,0.3794558619967454,0.2954621848739496,Débil
Precipitacion_mm,NITROGENO TOTAL,-0.36886093571714523,-0.35073891625615766,0.36886093571714523,0.35073891625615766,Débil
Temp_Media_C,Radiacion_Solar,0.3674625890144806,0.3741161359856127,0.3674625890144806,0.3741161359856127,Débil
Precipitacion_mm,FOSFORO TOTAL,-0.3655929498101121,-0.33061183221500223,0.3655929498101121,0.33061183221500223,Débil
Radiacion_Solar,TEMPERATURA,0.35518822596211336,0.378257011660436,0.35518822596211336,0.378257011660436,Débil
OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,-0.3513874097635692,-0.4570234647659966,0.3513874097635692,0.4570234647659966,Débil
Temp_Media_C,SOLIDOS SUSPENDIDOS TOTALES,0.3509220132520638,0.4137848241954266,0.3509220132520638,0.4137848241954266,Débil
Humedad_Relativa,Nivel_Minimo,-0.3504404032196338,0.28140705807596256,0.3504404032196338,0.28140705807596256,Débil
CALIDAD DEL AGUA,OXIGENO DISUELTO (OD),-0.34766504255243985,-0.5974790825125827,0.34766504255243985,0.5974790825125827,Débil
COBERTURA DE ACUEDUCTO URBANO,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
COBERTURA DE ALCANTARILLADO URBANO,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
COBERTURA DE ALCANTARILLADO RURAL,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
COBERTURA DE ACUEDUCTO RURAL,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
ACCESO A AGUA POTABLE ADECUADO,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
DENSIDAD POBLACIONAL,FOSFORO TOTAL,-0.3333028854830344,-0.3239059431361432,0.3333028854830344,0.3239059431361432,Débil
Anio,pH,-0.3332232115737573,-0.17012623952134132,0.3332232115737573,0.17012623952134132,Débil
TEMPERATURA,TURBIDEZ,0.33143653943698737,0.36019574309427554,0.33143653943698737,0.36019574309427554,Débil
OXIGENO DISUELTO (OD),TURBIDEZ,-0.3302350290320422,-0.3783246757742376,0.3302350290320422,0.3783246757742376,Débil
ONI,OXIGENO DISUELTO (OD),0.3289291172526014,0.3548151719441107,0.3289291172526014,0.3548151719441107,Débil
Temp_Media_C,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.31801212077512186,-0.38273180412330515,0.31801212077512186,0.38273180412330515,Débil
CALIDAD DEL AGUA,TURBIDEZ,0.3114666913639133,0.14712247158412492,0.3114666913639133,0.14712247158412492,Débil
Temp_Min_C,FOSFORO TOTAL,0.30836255475324914,0.26954480646612505,0.30836255475324914,0.26954480646612505,Débil
COBERTURA DE ALCANTARILLADO URBANO,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
COBERTURA DE ACUEDUCTO RURAL,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
ACCESO A AGUA POTABLE ADECUADO,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
